date,wind_speed,name,x,y,x_end,y_end
2016-04-01T00:00:00Z,4,roadrunner,89,27,116.1824276681885,173.66325532339906
2016-04-01T00:00:00Z,4,kasios,90,21,117.1824276681885,167.66325532339906
2016-04-01T00:00:00Z,4,radiance,109,26,136.1824276681885,172.66325532339906
2016-04-01T00:00:00Z,4,indigo,120,22,147.1824276681885,168.66325532339906
2016-04-01T03:00:00Z,5,roadrunner,89,27,162.749938327464,198.24544089678443
2016-04-01T03:00:00Z,5,kasios,90,21,163.749938327464,192.24544089678443
2016-04-01T03:00:00Z,5,radiance,109,26,182.749938327464,197.24544089678443
2016-04-01T03:00:00Z,5,indigo,120,22,193.749938327464,193.24544089678443
2016-04-01T06:00:00Z,5.2,roadrunner,89,27,158.80671481258918,207.90832993508553
2016-04-01T06:00:00Z,5.2,kasios,90,21,159.80671481258918,201.90832993508553
2016-04-01T06:00:00Z,5.2,radiance,109,26,178.80671481258918,206.90832993508553
2016-04-01T06:00:00Z,5.2,indigo,120,22,189.80671481258918,202.90832993508553
2016-04-01T09:00:00Z,4.1,roadrunner,89,27,153.3721628890011,165.67795370770685
2016-04-01T09:00:00Z,4.1,kasios,90,21,154.3721628890011,159.67795370770685
2016-04-01T09:00:00Z,4.1,radiance,109,26,173.3721628890011,164.67795370770685
2016-04-01T09:00:00Z,4.1,indigo,120,22,184.3721628890011,160.67795370770685
2016-04-01T12:00:00Z,3.6,roadrunner,89,27,149.94589679536483,146.61305731801588
2016-04-01T12:00:00Z,3.6,kasios,90,21,150.94589679536483,140.61305731801588
2016-04-01T12:00:00Z,3.6,radiance,109,26,169.94589679536483,145.61305731801588
2016-04-01T12:00:00Z,3.6,indigo,120,22,180.94589679536483,141.61305731801588
2016-04-01T15:00:00Z,3,roadrunner,89,27,139.96214002612354,126.5887537787463
2016-04-01T15:00:00Z,3,kasios,90,21,140.96214002612354,120.5887537787463
2016-04-01T15:00:00Z,3,radiance,109,26,159.96214002612354,125.5887537787463
2016-04-01T15:00:00Z,3,indigo,120,22,170.96214002612354,121.5887537787463
2016-04-01T18:00:00Z,1.9,roadrunner,89,27,152.57206596822462,58.281334504822226
2016-04-01T18:00:00Z,1.9,kasios,90,21,153.57206596822462,52.281334504822226
2016-04-01T18:00:00Z,1.9,radiance,109,26,172.57206596822462,57.281334504822226
2016-04-01T18:00:00Z,1.9,indigo,120,22,183.57206596822462,53.281334504822226
2016-04-01T21:00:00Z,2.9,roadrunner,89,27,196.11538011402473,41.86348726567026
2016-04-01T21:00:00Z,2.9,kasios,90,21,197.11538011402473,35.86348726567026
2016-04-01T21:00:00Z,2.9,radiance,109,26,216.11538011402473,40.86348726567026
2016-04-01T21:00:00Z,2.9,indigo,120,22,227.11538011402473,36.86348726567026
2016-04-02T00:00:00Z,2.9,roadrunner,89,27,196.1666107833322,41.489494259032185
2016-04-02T00:00:00Z,2.9,kasios,90,21,197.1666107833322,35.489494259032185
2016-04-02T00:00:00Z,2.9,radiance,109,26,216.1666107833322,40.489494259032185
2016-04-02T00:00:00Z,2.9,indigo,120,22,227.1666107833322,36.489494259032185
2016-04-02T03:00:00Z,2.8,roadrunner,89,27,193.36115732842939,23.7203185052047
2016-04-02T03:00:00Z,2.8,kasios,90,21,194.36115732842939,17.7203185052047
2016-04-02T03:00:00Z,2.8,radiance,109,26,213.36115732842939,22.7203185052047
2016-04-02T03:00:00Z,2.8,indigo,120,22,224.36115732842939,18.7203185052047
2016-04-02T06:00:00Z,1.5,roadrunner,89,27,144.119149076143,17.479269779401545
2016-04-02T06:00:00Z,1.5,kasios,90,21,145.119149076143,11.479269779401545
2016-04-02T06:00:00Z,1.5,radiance,109,26,164.119149076143,16.479269779401545
2016-04-02T06:00:00Z,1.5,indigo,120,22,175.119149076143,12.479269779401545
2016-04-02T09:00:00Z,1.3,roadrunner,89,27,137.438261540663,25.054518447769013
2016-04-02T09:00:00Z,1.3,kasios,90,21,138.438261540663,19.054518447769013
2016-04-02T09:00:00Z,1.3,radiance,109,26,157.438261540663,24.054518447769013
2016-04-02T09:00:00Z,1.3,indigo,120,22,168.438261540663,20.054518447769013
2016-04-02T12:00:00Z,1.3,roadrunner,89,27,108.17498396514064,71.52381463316397
2016-04-02T12:00:00Z,1.3,kasios,90,21,109.17498396514064,65.52381463316397
2016-04-02T12:00:00Z,1.3,radiance,109,26,128.17498396514065,70.52381463316397
2016-04-02T12:00:00Z,1.3,indigo,120,22,139.17498396514065,66.52381463316397
2016-04-02T15:00:00Z,2.1,roadrunner,89,27,100.71003932498905,104.42902673208374
2016-04-02T15:00:00Z,2.1,kasios,90,21,101.71003932498905,98.42902673208374
2016-04-02T15:00:00Z,2.1,radiance,109,26,120.71003932498905,103.42902673208374
2016-04-02T15:00:00Z,2.1,indigo,120,22,131.71003932498905,99.42902673208374
2016-04-02T18:00:00Z,2.7,roadrunner,89,27,123.27065701337112,121.67164485748158
2016-04-02T18:00:00Z,2.7,kasios,90,21,124.27065701337112,115.67164485748158
2016-04-02T18:00:00Z,2.7,radiance,109,26,143.27065701337114,120.67164485748158
2016-04-02T18:00:00Z,2.7,indigo,120,22,154.27065701337114,116.67164485748158
2016-04-02T21:00:00Z,2.6,roadrunner,89,27,157.5572764854577,95.5572764854577
2016-04-02T21:00:00Z,2.6,kasios,90,21,158.5572764854577,89.5572764854577
2016-04-02T21:00:00Z,2.6,radiance,109,26,177.5572764854577,94.5572764854577
2016-04-02T21:00:00Z,2.6,indigo,120,22,188.5572764854577,90.5572764854577
2016-04-03T00:00:00Z,2.8,roadrunner,89,27,193.06157923270985,18.444580826695628
2016-04-03T00:00:00Z,2.8,kasios,90,21,194.06157923270985,12.444580826695628
2016-04-03T00:00:00Z,2.8,radiance,109,26,213.06157923270985,17.444580826695628
2016-04-03T00:00:00Z,2.8,indigo,120,22,224.06157923270985,13.444580826695628
2016-04-03T03:00:00Z,2.2,roadrunner,89,27,160.82182570789462,-12.647777868029998
2016-04-03T03:00:00Z,2.2,kasios,90,21,161.82182570789462,-18.647777868029998
2016-04-03T03:00:00Z,2.2,radiance,109,26,180.82182570789462,-13.647777868029998
2016-04-03T03:00:00Z,2.2,indigo,120,22,191.82182570789462,-17.647777868029998
2016-04-03T06:00:00Z,2.1,roadrunner,89,27,142.50683373758903,-30.17864938111545
2016-04-03T06:00:00Z,2.1,kasios,90,21,143.50683373758903,-36.17864938111545
2016-04-03T06:00:00Z,2.1,radiance,109,26,162.50683373758903,-31.17864938111545
2016-04-03T06:00:00Z,2.1,indigo,120,22,173.50683373758903,-35.17864938111545
2016-04-03T09:00:00Z,3.7,roadrunner,89,27,161.5013713723079,-90.38972423377218
2016-04-03T09:00:00Z,3.7,kasios,90,21,162.5013713723079,-96.38972423377218
2016-04-03T09:00:00Z,3.7,radiance,109,26,181.5013713723079,-91.38972423377218
2016-04-03T09:00:00Z,3.7,indigo,120,22,192.5013713723079,-95.38972423377218
2016-04-03T12:00:00Z,4.3,roadrunner,89,27,181.42979339453484,-104.02758469264344
2016-04-03T12:00:00Z,4.3,kasios,90,21,182.42979339453484,-110.02758469264344
2016-04-03T12:00:00Z,4.3,radiance,109,26,201.42979339453484,-105.02758469264344
2016-04-03T12:00:00Z,4.3,indigo,120,22,212.42979339453484,-109.02758469264344
2016-04-03T15:00:00Z,4.6,roadrunner,89,27,214.2484700729196,-90.20544532995686
2016-04-03T15:00:00Z,4.6,kasios,90,21,215.2484700729196,-96.20544532995686
